Review,Rating,Product_Name,Product_ID,Sentiment_Score,Sentiment
go google brand course want performance premium touch pixel provide without doubt camera battery good improve study usage pattern make adjustment background apps design awesome colour awesome body light weight strong durable  refresh rate does not feel like lacking  smooth cream little heat issue specially left edge tensor  processor did not really tried gaming multitasking easy chill charging adaptive mode slows charging switched charging fine minute battery,4,"Google Pixel 7a (Coral, 128 GB)",1,0.9694,Positive
nice phone,4,"Google Pixel 7a (Coral, 128 GB)",1,0.4215,Positive
google need fix battery issue heating issue overall phone awesome,5,"Google Pixel 7a (Coral, 128 GB)",1,0.6249,Positive
migrated iphone pixels amazing pixel blockbuster photo sharp display amazing battery smooth battery backup good consumption half day moderate usage charge mobile apple adapter minutes wireless charging minute used costa watt fast charger charge pixels minutes live caption voice call great feature fingerprint unlocking using screen protector issue work well enroll four time finger screen protector protector mode setting installing android version improved battery performance improved fingerprint unlocking,5,"Google Pixel 7a (Coral, 128 GB)",1,0.9794,Positive
good phone photography average mobile performance,4,"Google Pixel 7a (Coral, 128 GB)",1,0.4404,Positive
reviewing day purchased pixel white coral big billion sale  excellent build quality display bright enough full sunlight battery drop end day enough average higher average user artificial intelligence optimized battery per user usage network issue found yet call quality good till compared pixel phone heat first set android update heavy heating observed con thick been charging bit slow youtube gave negative feedback either get paid google issue fixed google  update,5,"Google Pixel 7a (Coral, 128 GB)",1,0.8689,Positive
nice design colour camera peak far,5,"Google Pixel 7a (Coral, 128 GB)",1,0.4215,Positive
extraordinary something new everything thing good phone except battery life,4,"Google Pixel 7a (Coral, 128 GB)",1,0.4404,Positive
camera excellent processor good light gaming software experience excellent charging slow battery backup good overall phone good premium user,4,"Google Pixel 7a (Coral, 128 GB)",1,0.9442,Positive
excellent camera design battery early dry,4,"Google Pixel 7a (Coral, 128 GB)",1,0.5719,Positive
im using pixel since month camera awesome are interested gaming using device maximum time,3,"Google Pixel 7a (Coral, 128 GB)",1,0.7783,Positive
great camera phone colour science pretty good display decent enough night video worth made extensive gaming,5,"Google Pixel 7a (Coral, 128 GB)",1,0.9022,Positive
good phone camera next level,5,"Google Pixel 7a (Coral, 128 GB)",1,0.4404,Positive
update heat lot living state degree do not go heat lot  camera o display chipset extreme gaming optimized o make better user experience chip delivers near flagship grade performance best chip long gaming session con charging time high heating normal time heat little maybe two x chip design x ml powerhouse big part google design,5,"Google Pixel 7a (Coral, 128 GB)",1,0.8885,Positive
camera pixel experience,5,"Google Pixel 7a (Coral, 128 GB)",1,0.0,Neutral
using two day see people complaining heating have not bought gaming problem camera design build quality o perfect complaint include screen protector box recent release available anywhere market also accessory box completely useless anyone looking detail back cover fit fine custom cut screen protector samsung also work time waiting last month little biased single thing phone make deal breaker,5,"Google Pixel 7a (Coral, 128 GB)",1,0.0665,Positive
need phone smooth experience camera go,5,"Google Pixel 7a (Coral, 128 GB)",1,0.0,Neutral
heating issue hopefully google solves soon,4,"Google Pixel 7a (Coral, 128 GB)",1,0.5859,Positive
first get bit overpriced good pixel way better,5,"Google Pixel 7a (Coral, 128 GB)",1,0.7003,Positive
perfect replacement oneplus pixel super excited happy built quality top notch photo video recording quality excellent got first security update got connected network go,5,"Google Pixel 7a (Coral, 128 GB)",1,0.9666,Positive
nice mobile  con clean user interface nice experience camera good one battery backup good charging slow charging time frustrating mi one plus fast charging phone user heating problem frame,4,"Google Pixel 7a (Coral, 128 GB)",1,0.8176,Positive
camera,4,"Google Pixel 7a (Coral, 128 GB)",1,0.0,Neutral
used phone almost month phone performance good clean user interface many feature available main key point camera good provide also gb storage take photo videos gb enough main improve battery minus point phone normal usage come one day you use camera come half day note want good camera buy phone awesome find photo,3,"Google Pixel 7a (Coral, 128 GB)",1,0.9565,Positive
nice camera,5,"Google Pixel 7a (Coral, 128 GB)",1,0.4215,Positive
phone design good stock android work smoothly camera awesome  mode camera problem mentioned others heating issue side panel hope google fix issue update disabled adaptive charging option reduced heating issue setup battery adaptive preference disable adaptive battery,4,"Google Pixel 7a (Coral, 128 GB)",1,0.802,Positive
